                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.96765,                 0.6724,                 1.3815,                 0.9532,                0.91074,                0.96275,                 0.7175,                0.91607,                0.49247,                 1.4214,               0.000845,               0.000845,               0.000845
                     37,                 0.9509,                0.65623,                 1.3712,                0.95547,                0.90742,                 0.9655,                 0.7242,                0.89259,                0.47966,                 1.4029,               0.000812,               0.000812,               0.000812
                     38,                0.94598,                0.65696,                 1.3626,                0.95559,                0.91125,                0.96255,                0.72326,                0.89838,                0.48591,                 1.4076,               0.000779,               0.000779,               0.000779
                     39,                0.93595,                0.64004,                 1.3541,                0.94901,                0.91662,                0.96549,                0.72208,                0.91148,                0.48533,                 1.4134,               0.000746,               0.000746,               0.000746
                     40,                0.92631,                0.63545,                 1.3484,                0.95287,                0.91794,                0.96558,                0.72343,                0.89375,                0.47147,                 1.4045,               0.000713,               0.000713,               0.000713
                     41,                0.92262,                0.62775,                 1.3451,                0.95747,                 0.9177,                0.96679,                0.72921,                0.88346,                0.46755,                 1.3976,                0.00068,                0.00068,                0.00068
                     42,                 0.9185,                0.61569,                 1.3387,                0.96029,                0.91662,                0.96672,                0.73279,                0.87614,                0.46555,                 1.3872,               0.000647,               0.000647,               0.000647
                     43,                 0.9115,                 0.6125,                 1.3337,                0.96535,                0.91586,                0.96477,                0.72489,                0.88444,                0.45689,                 1.3991,               0.000614,               0.000614,               0.000614
                     44,                0.90348,                0.60473,                 1.3306,                0.96343,                0.91452,                0.96598,                0.73142,                0.88057,                0.47156,                 1.3946,               0.000581,               0.000581,               0.000581
                     45,                0.90164,                0.60757,                  1.331,                 0.9589,                0.91978,                0.96834,                0.73725,                 0.8726,                0.46033,                 1.3839,               0.000548,               0.000548,               0.000548
                     46,                 0.8941,                0.58816,                 1.3203,                 0.9623,                0.92451,                0.96851,                0.74103,                0.86385,                0.44454,                 1.3761,               0.000515,               0.000515,               0.000515
                     47,                0.88606,                0.58927,                 1.3147,                0.96267,                0.92244,                0.96713,                0.74182,                0.85469,                0.44737,                 1.3714,               0.000482,               0.000482,               0.000482
                     48,                0.88347,                0.58414,                 1.3124,                 0.9607,                0.91309,                0.96751,                0.74062,                0.86119,                0.44436,                 1.3714,               0.000449,               0.000449,               0.000449
                     49,                0.86565,                 0.5674,                 1.3042,                0.96653,                0.91899,                0.96693,                0.74223,                0.85013,                0.43769,                 1.3645,               0.000416,               0.000416,               0.000416
                     50,                0.85338,                0.55072,                 1.2919,                0.96382,                 0.9253,                0.97041,                0.74568,                 0.8518,                0.43626,                 1.3632,               0.000383,               0.000383,               0.000383
                     51,                0.75526,                0.41817,                 1.2905,                0.95839,                0.92294,                0.96944,                0.74701,                0.84081,                0.43454,                 1.3573,                0.00035,                0.00035,                0.00035
                     52,                0.73002,                0.40374,                 1.2716,                0.96979,                0.92039,                0.97012,                0.75128,                0.83343,                 0.4239,                 1.3505,               0.000317,               0.000317,               0.000317
                     53,                0.71408,                0.39348,                 1.2564,                0.96311,                0.92702,                0.97026,                0.75435,                0.83086,                0.41293,                 1.3562,               0.000284,               0.000284,               0.000284
                     54,                0.70496,                0.37785,                 1.2503,                0.96243,                 0.9253,                 0.9714,                0.75535,                 0.8256,                0.41021,                 1.3491,               0.000251,               0.000251,               0.000251
                     55,                0.69166,                0.37148,                 1.2458,                0.96422,                0.92294,                0.96919,                0.75231,                 0.8311,                0.41495,                 1.3523,               0.000218,               0.000218,               0.000218
                     56,                0.68866,                0.36631,                 1.2368,                0.96231,                0.92686,                0.96931,                0.75721,                0.82052,                0.41136,                 1.3473,               0.000185,               0.000185,               0.000185
                     57,                0.66948,                0.36052,                 1.2236,                 0.9632,                0.92688,                0.97021,                0.75919,                0.81892,                0.40686,                 1.3456,               0.000152,               0.000152,               0.000152
                     58,                0.65734,                 0.3532,                 1.2109,                0.96073,                0.93083,                0.97013,                0.76216,                0.81616,                0.40455,                 1.3491,               0.000119,               0.000119,               0.000119
                     59,                0.65449,                 0.3453,                 1.2073,                0.96367,                0.92798,                0.97084,                 0.7642,                0.81155,                 0.4004,                 1.3441,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.64158,                0.33749,                 1.1997,                0.96119,                0.93162,                 0.9704,                0.76429,                0.81088,                0.39753,                  1.346,                5.3e-05,                5.3e-05,                5.3e-05
